Topology	T2	T1	res_topo
ABC	0.1	0.129	ABC
ABC	0.1095	0.1565	ABC
ABC	0.1065	0.1365	ABC
ABC	0.081	0.128	ABC
ABC	0.0845	0.1205	ABC
ACB	0.143	0.269	other
ACB	0.104	0.218	other
ACB	0.1365	0.2325	other
ABC	0.0975	0.1305	ABC
ABC	0.108	0.141	ABC
ABC	0.1045	0.1415	ABC
ABC	0.1275	0.1565	ABC
ABC	0.091	0.156	ABC
ABC	0.0755	0.1255	ABC
ABC	0.1	0.141	ABC
ABC	0.0995	0.1255	ABC
ABC	0.086	0.134	ABC
ABC	0.091	0.132	ABC
ACB	0.134	0.148	other
ABC	0.0925	0.1505	ABC
ACB	0.134	0.247	other
ABC	0.0905	0.1425	ABC
ABC	0.1215	0.1445	ABC
ABC	0.0855	0.1155	ABC
ABC	0.087	0.122	ABC
ABC	0.1115	0.1515	ABC
ABC	0.0965	0.1335	ABC
ABC	0.0865	0.1315	ABC
ABC	0.1295	0.1375	ABC
ABC	0.104	0.154	ABC
ABC	0.0915	0.1355	ABC
ACB	0.1265	0.2645	other
ABC	0.094	0.13	ABC
ABC	0.1045	0.1435	ABC
ACB	0.1235	0.2645	other
ABC	0.085	0.124	ABC
ABC	0.0925	0.1195	ABC
ACB	0.122	0.125	other
ABC	0.098	0.143	ABC
ACB	0.1315	0.2705	other
ABC	0.09	0.138	ABC
ACB	0.1745	0.2715	other
ABC	0.0815	0.1315	ABC
ABC	0.0865	0.1215	ABC
ABC	0.1055	0.1385	ABC
ABC	0.084	0.138	ABC
ABC	0.1105	0.1905	ABC
ABC	0.102	0.143	ABC
ABC	0.1135	0.1525	ABC
ABC	0.086	0.141	ABC
ABC	0.0935	0.1235	ABC
ABC	0.089	0.138	ABC
ABC	0.1015	0.1685	ABC
ABC	0.1	0.136	ABC
ACB	0.132	0.259	other
ABC	0.1045	0.1405	ABC
ABC	0.107	0.144	ABC
ABC	0.0935	0.1185	ABC
ACB	0.152	0.263	other
ABC	0.095	0.145	ABC
ABC	0.0865	0.1335	ABC
ABC	0.142	0.175	ABC
ABC	0.085	0.131	ABC
ABC	0.1215	0.1485	ABC
ABC	0.101	0.147	ABC
ABC	0.0845	0.1325	ABC
ABC	0.094	0.147	ABC
ABC	0.1075	0.1455	ABC
ABC	0.0995	0.1185	ABC
ABC	0.097	0.131	ABC
ABC	0.09	0.127	ABC
ACB	0.146	0.27	other
ACB	0.154	0.261	other
ABC	0.0915	0.1385	ABC
ABC	0.0885	0.1455	ABC
ABC	0.099	0.139	ABC
ABC	0.0845	0.1335	ABC
ACB	0.1525	0.2535	other
ABC	0.107	0.147	ABC
ABC	0.093	0.126	ABC
ABC	0.074	0.121	ABC
ABC	0.089	0.127	ABC
ABC	0.0855	0.1515	ABC
ABC	0.0905	0.1145	ABC
ABC	0.11	0.158	ABC
ACB	0.125	0.125	other
ACB	0.1325	0.2465	other
ACB	0.1615	0.2625	other
ABC	0.0895	0.1365	ABC
ABC	0.09	0.157	ABC
ABC	0.0765	0.1225	ABC
ABC	0.0915	0.1365	ABC
ABC	0.1025	0.1465	ABC
ACB	0.1225	0.2785	other
ABC	0.1	0.135	ABC
ABC	0.1035	0.1495	ABC
ACB	0.137	0.261	other
ACB	0.136	0.238	other
ABC	0.083	0.126	ABC
ABC	0.1005	0.1275	ABC
ABC	0.088	0.127	ABC
ACB	0.1425	0.2615	other
ABC	0.1065	0.1505	ABC
