Topology	T2	T1	res_topo
ABC	0.0905	0.1645	ABC
ABC	0.0915	0.1485	ABC
ABC	0.0925	0.1345	ABC
ABC	0.0935	0.1235	ABC
ABC	0.0865	0.1335	ABC
ABC	0.0895	0.1425	ABC
ABC	0.0935	0.1295	ABC
ABC	0.095	0.143	ABC
ABC	0.104	0.136	ABC
ABC	0.106	0.133	ABC
ABC	0.0925	0.1185	ABC
ABC	0.086	0.128	ABC
ABC	0.1035	0.1435	ABC
ABC	0.091	0.133	ABC
ABC	0.1005	0.1375	ABC
ABC	0.1015	0.1505	ABC
ABC	0.096	0.129	ABC
ABC	0.101	0.135	ABC
ABC	0.097	0.135	ABC
ABC	0.133	0.147	ABC
ABC	0.099	0.139	ABC
ABC	0.0955	0.1375	ABC
ABC	0.1035	0.1635	ABC
ABC	0.089	0.149	ABC
ABC	0.1045	0.1305	ABC
ABC	0.0855	0.1365	ABC
ABC	0.089	0.132	ABC
ABC	0.094	0.131	ABC
ABC	0.123	0.127	ABC
ABC	0.0935	0.1405	ABC
BCA	0.0015	0.0905	other
BCA	0.0135	0.0775	other
ABC	0.0745	0.0995	ABC
BCA	0.0165	0.0635	other
ABC	0.0945	0.1775	ABC
ABC	0.119	0.149	ABC
ABC	0.089	0.119	ABC
ABC	0.087	0.129	ABC
ABC	0.1095	0.1495	ABC
ABC	0.12	0.142	ABC
BCA	0.003	0.1	other
ABC	0.1055	0.1295	ABC
ABC	0.093	0.156	ABC
ABC	0.0925	0.1385	ABC
ABC	0.0855	0.1475	ABC
BCA	5e-04	0.0745	other
ABC	0.079	0.134	ABC
BCA	0.151	0.159	other
ABC	0.077	0.12	ABC
ABC	0.085	0.148	ABC
ABC	0.107	0.18	ABC
ABC	0.082	0.134	ABC
ABC	0.086	0.133	ABC
ABC	0.0965	0.1695	ABC
ABC	0.0855	0.1385	ABC
ABC	0.11	0.136	ABC
ABC	0.087	0.123	ABC
ABC	0.0915	0.1195	ABC
BCA	0.0075	0.1005	other
ABC	0.0985	0.1445	ABC
ABC	0.083	0.148	ABC
ABC	0.0965	0.1265	ABC
ABC	0.1005	0.1395	ABC
ABC	0.1115	0.1395	ABC
ABC	0.0865	0.1295	ABC
ABC	0.0815	0.1215	ABC
ABC	0.103	0.137	ABC
BCA	0.02	0.114	other
BCA	0.026	0.109	other
ABC	0.092	0.141	ABC
ABC	0.0875	0.1435	ABC
ABC	0.104	0.119	ABC
ABC	0.091	0.13	ABC
ABC	0.0985	0.1415	ABC
ABC	0.1065	0.1285	ABC
BCA	0.006	0.077	other
ABC	0.0965	0.1325	ABC
ABC	0.0935	0.1475	ABC
ABC	0.096	0.148	ABC
ABC	0.0905	0.1345	ABC
ABC	0.1075	0.1545	ABC
ABC	0.088	0.116	ABC
ABC	0.0855	0.1515	ABC
ABC	0.1055	0.1465	ABC
ABC	0.104	0.126	ABC
ABC	0.085	0.171	ABC
BCA	0.0125	0.0825	other
BCA	0.008	0.105	other
ABC	0.085	0.17	ABC
ABC	0.0905	0.1235	ABC
ABC	0.091	0.133	ABC
ABC	0.1045	0.1255	ABC
ABC	0.0865	0.1265	ABC
ABC	0.087	0.118	ABC
BCA	0	0.088	other
ABC	0.076	0.133	ABC
ABC	0.1	0.161	ABC
ABC	0.08	0.127	ABC
ABC	0.087	0.137	ABC
ABC	0.081	0.14	ABC
ABC	0.102	0.135	ABC
ABC	0.105	0.16	ABC
ABC	0.0845	0.1115	ABC
ABC	0.085	0.147	ABC
BCA	0.0045	0.1115	other
ABC	0.0875	0.1265	ABC
ABC	0.1005	0.1685	ABC
ABC	0.072	0.112	ABC
BCA	0.0045	0.1115	other
ABC	0.083	0.126	ABC
ABC	0.088	0.157	ABC
ABC	0.1095	0.1555	ABC
BCA	0.028	0.074	other
BCA	0.009	0.082	other
ABC	0.0835	0.1555	ABC
ABC	0.1095	0.1425	ABC
ABC	0.0985	0.1545	ABC
ABC	0.0905	0.1235	ABC
ABC	0.103	0.125	ABC
ABC	0.099	0.162	ABC
ABC	0.09	0.126	ABC
BCA	5e-04	0.0855	other
ABC	0.1	0.148	ABC
ABC	0.131	0.161	ABC
ABC	0.088	0.14	ABC
ABC	0.099	0.146	ABC
ABC	0.095	0.142	ABC
ABC	0.1125	0.1515	ABC
ABC	0.089	0.123	ABC
ABC	0.078	0.124	ABC
ABC	0.0895	0.1095	ABC
ABC	0.0845	0.1405	ABC
BCA	0.006	0.099	other
ABC	0.0885	0.1375	ABC
ABC	0.081	0.157	ABC
ABC	0.076	0.112	ABC
ABC	0.1165	0.1315	ABC
ABC	0.1245	0.1515	ABC
ABC	0.091	0.136	ABC
ABC	0.0865	0.1295	ABC
ABC	0.1195	0.1535	ABC
ABC	0.083	0.13	ABC
ABC	0.109	0.148	ABC
ABC	0.075	0.115	ABC
BCA	0.0065	0.0795	other
BCA	0.0395	0.0915	other
ABC	0.093	0.135	ABC
ABC	0.1015	0.1705	ABC
ABC	0.095	0.14	ABC
ABC	0.0805	0.1395	ABC
ABC	0.101	0.13	ABC
ABC	0.0855	0.1355	ABC
ABC	0.0765	0.1235	ABC
ABC	0.0915	0.1415	ABC
ABC	0.087	0.125	ABC
ABC	0.076	0.133	ABC
ABC	0.0935	0.1155	ABC
ABC	0.102	0.137	ABC
ABC	0.095	0.145	ABC
ABC	0.117	0.143	ABC
ABC	0.093	0.15	ABC
ABC	0.097	0.137	ABC
BCA	0.01	0.141	other
ABC	0.074	0.129	ABC
ABC	0.0845	0.1475	ABC
BCA	0.0365	0.0945	other
ABC	0.102	0.148	ABC
ABC	0.1035	0.1375	ABC
ABC	0.0855	0.1405	ABC
ABC	0.1015	0.1475	ABC
ABC	0.09	0.151	ABC
ABC	0.084	0.149	ABC
ABC	0.098	0.151	ABC
ABC	0.085	0.123	ABC
ABC	0.083	0.136	ABC
BCA	0.008	0.107	other
ABC	0.0985	0.1395	ABC
ABC	0.08	0.131	ABC
ABC	0.096	0.129	ABC
ABC	0.0895	0.1425	ABC
ABC	0.0825	0.1515	ABC
ABC	0.0855	0.1255	ABC
ABC	0.089	0.129	ABC
ABC	0.0935	0.1355	ABC
ABC	0.1275	0.1275	ABC
BCA	0.001	0.085	other
ABC	0.0795	0.1235	ABC
ABC	0.1005	0.1395	ABC
ABC	0.0975	0.1375	ABC
BCA	0.004	0.108	other
BCA	0.006	0.104	other
ABC	0.094	0.144	ABC
ABC	0.108	0.163	ABC
ABC	0.088	0.14	ABC
BCA	0.0155	0.0865	other
ABC	0.1095	0.1395	ABC
BCA	0.004	0.096	other
BCA	0.0045	0.0955	other
ABC	0.1035	0.1435	ABC
ABC	0.108	0.135	ABC
ABC	0.089	0.109	ABC
ABC	0.0885	0.1205	ABC
ABC	0.0915	0.1235	ABC
ABC	0.09	0.158	ABC
ABC	0.094	0.137	ABC
ABC	0.089	0.142	ABC
BCA	0.0045	0.1025	other
ABC	0.0895	0.1185	ABC
ABC	0.0995	0.1455	ABC
ABC	0.0765	0.1225	ABC
ABC	0.085	0.135	ABC
ABC	0.104	0.138	ABC
ABC	0.0895	0.1415	ABC
ABC	0.092	0.137	ABC
BCA	0.003	0.093	other
ABC	0.086	0.135	ABC
ABC	0.085	0.13	ABC
BCA	0.006	0.113	other
ABC	0.0835	0.1375	ABC
BCA	0.004	0.094	other
BCA	0.0065	0.0825	other
BCA	0.031	0.091	other
ABC	0.0925	0.1525	ABC
ABC	0.093	0.135	ABC
ABC	0.0875	0.1345	ABC
ABC	0.1015	0.1465	ABC
ABC	0.0825	0.1175	ABC
ABC	0.0885	0.1295	ABC
ABC	0.085	0.127	ABC
ABC	0.09	0.134	ABC
ABC	0.091	0.116	ABC
ABC	0.104	0.122	ABC
ABC	0.106	0.149	ABC
BCA	0.009	0.101	other
ABC	0.0995	0.1325	ABC
ABC	0.0975	0.1325	ABC
ABC	0.1065	0.1405	ABC
ABC	0.086	0.145	ABC
ABC	0.0915	0.1365	ABC
ABC	0.081	0.14	ABC
ABC	0.114	0.134	ABC
ABC	0.0995	0.1285	ABC
ABC	0.095	0.16	ABC
ABC	0.0795	0.1275	ABC
ABC	0.0975	0.1325	ABC
ABC	0.087	0.146	ABC
ABC	0.089	0.129	ABC
ABC	0.086	0.143	ABC
ABC	0.0775	0.1295	ABC
ABC	0.1	0.139	ABC
BCA	0.014	0.097	other
ABC	0.113	0.121	ABC
ABC	0.1005	0.1495	ABC
ABC	0.124	0.152	ABC
ABC	0.0895	0.1345	ABC
ABC	0.0865	0.1245	ABC
ABC	0.101	0.14	ABC
ABC	0.082	0.139	ABC
ABC	0.0985	0.1445	ABC
ABC	0.082	0.137	ABC
ABC	0.074	0.123	ABC
ABC	0.138	0.151	ABC
ABC	0.096	0.127	ABC
ABC	0.0895	0.1315	ABC
BCA	5e-04	0.1065	other
ACB	0.131	0.132	other
ABC	0.088	0.118	ABC
ABC	0.0835	0.1375	ABC
ABC	0.088	0.135	ABC
ABC	0.1065	0.1425	ABC
ABC	0.106	0.133	ABC
ABC	0.0765	0.1215	ABC
ABC	0.0845	0.1275	ABC
ABC	0.096	0.132	ABC
ABC	0.085	0.123	ABC
ABC	0.095	0.147	ABC
ABC	0.087	0.124	ABC
BCA	0.0085	0.1165	other
ABC	0.0915	0.1525	ABC
ABC	0.0805	0.1265	ABC
ABC	0.1025	0.1535	ABC
ABC	0.096	0.132	ABC
ABC	0.106	0.132	ABC
ABC	0.1	0.128	ABC
ABC	0.123	0.139	ABC
ABC	0.086	0.128	ABC
ABC	0.0935	0.1525	ABC
ABC	0.108	0.128	ABC
ABC	0.082	0.146	ABC
ABC	0.0945	0.1445	ABC
ABC	0.094	0.154	ABC
ABC	0.093	0.155	ABC
BCA	0	0.082	other
ABC	0.093	0.119	ABC
ABC	0.082	0.131	ABC
ABC	0.097	0.129	ABC
BCA	0.008	0.11	other
ABC	0.0755	0.1155	ABC
ABC	0.0895	0.1435	ABC
ABC	0.0925	0.1445	ABC
ABC	0.0885	0.1355	ABC
ABC	0.0865	0.1225	ABC
ABC	0.0985	0.1275	ABC
ABC	0.1235	0.1525	ABC
ABC	0.0915	0.1335	ABC
ABC	0.087	0.113	ABC
ABC	0.1065	0.1415	ABC
ABC	0.097	0.153	ABC
ABC	0.0855	0.1305	ABC
ABC	0.089	0.129	ABC
ABC	0.0965	0.1495	ABC
ABC	0.0815	0.1295	ABC
ABC	0.1	0.149	ABC
BCA	0	0.103	other
ABC	0.088	0.127	ABC
ACB	0.139	0.149	other
ABC	0.1045	0.1335	ABC
BCA	0.003	0.077	other
ABC	0.0895	0.1315	ABC
ABC	0.091	0.168	ABC
ABC	0.0945	0.1705	ABC
BCA	0.0015	0.0925	other
ABC	0.099	0.13	ABC
BCA	0.006	0.14	other
ABC	0.0805	0.1485	ABC
ABC	0.1055	0.1305	ABC
BCA	0	0.096	other
ABC	0.0805	0.1225	ABC
ABC	0.0915	0.1285	ABC
ABC	0.086	0.118	ABC
ABC	0.093	0.143	ABC
ABC	0.087	0.13	ABC
BCA	0.0035	0.0905	other
ABC	0.1	0.132	ABC
ABC	0.1035	0.1325	ABC
ABC	0.084	0.112	ABC
ABC	0.085	0.165	ABC
ABC	0.105	0.147	ABC
BCA	0.0055	0.1305	other
ABC	0.0905	0.1645	ABC
ABC	0.0915	0.1265	ABC
ABC	0.0985	0.1365	ABC
ABC	0.0835	0.1325	ABC
BCA	0.006	0.098	other
ABC	0.093	0.143	ABC
ABC	0.0945	0.1595	ABC
ABC	0.084	0.117	ABC
ABC	0.0975	0.1495	ABC
ABC	0.0895	0.1325	ABC
ABC	0.1245	0.1565	ABC
ABC	0.0785	0.1205	ABC
ABC	0.0905	0.1235	ABC
ABC	0.1135	0.1325	ABC
ABC	0.095	0.138	ABC
ABC	0.0945	0.1285	ABC
ABC	0.1065	0.1315	ABC
ABC	0.087	0.135	ABC
ABC	0.081	0.137	ABC
BCA	0.0115	0.1005	other
BCA	0.015	0.102	other
ABC	0.103	0.152	ABC
ABC	0.094	0.111	ABC
BCA	0.001	0.115	other
ABC	0.0945	0.1415	ABC
ABC	0.0785	0.1235	ABC
BCA	0.0065	0.0915	other
ABC	0.0915	0.1345	ABC
ABC	0.086	0.131	ABC
ABC	0.086	0.14	ABC
ABC	0.086	0.117	ABC
BCA	0.004	0.079	other
ABC	0.0785	0.1245	ABC
ABC	0.0885	0.1365	ABC
ABC	0.1015	0.1355	ABC
BCA	0.0245	0.0835	other
ABC	0.0875	0.1375	ABC
ABC	0.083	0.155	ABC
BCA	0	0.086	other
ABC	0.1015	0.1505	ABC
ABC	0.0705	0.1145	ABC
BCA	0.006	0.112	other
ABC	0.0865	0.1265	ABC
BCA	0.014	0.087	other
BCA	0.0035	0.1015	other
BCA	0.006	0.082	other
ABC	0.089	0.165	ABC
BCA	0.0045	0.0945	other
ABC	0.0805	0.1105	ABC
ABC	0.097	0.133	ABC
ABC	0.1085	0.1335	ABC
ABC	0.086	0.121	ABC
ABC	0.08	0.131	ABC
ABC	0.119	0.155	ABC
ABC	0.1175	0.1355	ABC
ABC	0.0915	0.1335	ABC
ABC	0.1055	0.1485	ABC
ABC	0.0815	0.1635	ABC
ABC	0.14	0.157	ABC
ABC	0.0805	0.1345	ABC
BCA	0.0115	0.0995	other
BCA	0.022	0.08	other
ABC	0.0875	0.1235	ABC
BCA	0.0045	0.0835	other
ABC	0.081	0.155	ABC
ABC	0.106	0.152	ABC
ABC	0.1015	0.1445	ABC
ABC	0.0985	0.1305	ABC
ABC	0.0895	0.1395	ABC
ABC	0.093	0.148	ABC
BCA	0.0055	0.0865	other
ABC	0.0885	0.1265	ABC
ABC	0.0875	0.1315	ABC
ABC	0.109	0.162	ABC
ABC	0.105	0.16	ABC
ABC	0.084	0.148	ABC
ABC	0.1115	0.1555	ABC
BCA	0.0305	0.1185	other
BCA	0	0.096	other
ABC	0.082	0.119	ABC
ABC	0.117	0.131	ABC
ABC	0.0835	0.1465	ABC
ABC	0.095	0.134	ABC
ABC	0.0885	0.1575	ABC
ABC	0.0955	0.1515	ABC
ABC	0.0925	0.1525	ABC
ABC	0.0915	0.1275	ABC
ABC	0.104	0.146	ABC
ABC	0.0875	0.1365	ABC
ABC	0.087	0.121	ABC
ABC	0.091	0.121	ABC
ABC	0.0915	0.1585	ABC
ABC	0.0945	0.1455	ABC
ABC	0.095	0.146	ABC
BCA	0.0045	0.0965	other
ABC	0.094	0.141	ABC
ABC	0.089	0.135	ABC
ABC	0.0945	0.1495	ABC
ABC	0.0945	0.1375	ABC
ABC	0.089	0.146	ABC
ABC	0.1075	0.1305	ABC
ABC	0.097	0.135	ABC
ABC	0.097	0.157	ABC
BCA	0.0075	0.1085	other
ABC	0.0815	0.1245	ABC
BCA	0.0025	0.0865	other
ABC	0.0865	0.1245	ABC
ABC	0.102	0.129	ABC
ABC	0.103	0.159	ABC
ABC	0.0845	0.1455	ABC
ABC	0.103	0.14	ABC
ABC	0.0985	0.1385	ABC
ABC	0.098	0.149	ABC
ABC	0.112	0.159	ABC
BCA	0.0185	0.0815	other
ABC	0.085	0.123	ABC
ABC	0.1	0.143	ABC
ABC	0.084	0.121	ABC
BCA	0.0045	0.0825	other
ABC	0.1075	0.1525	ABC
ABC	0.127	0.152	ABC
ABC	0.1035	0.1445	ABC
ABC	0.0975	0.1315	ABC
ABC	0.078	0.123	ABC
ABC	0.0965	0.1335	ABC
ABC	0.0935	0.1285	ABC
ABC	0.1025	0.1525	ABC
ABC	0.107	0.132	ABC
BCA	0.0045	0.0775	other
ABC	0.099	0.126	ABC
BCA	0.007	0.084	other
ABC	0.104	0.145	ABC
ABC	0.1065	0.1645	ABC
ABC	0.097	0.176	ABC
ABC	0.1	0.137	ABC
BCA	0.001	0.092	other
ABC	0.0955	0.1335	ABC
BCA	0.0185	0.1065	other
ABC	0.109	0.151	ABC
ABC	0.0895	0.1255	ABC
BCA	0.0035	0.0815	other
ABC	0.097	0.136	ABC
BCA	0.0105	0.0875	other
ABC	0.0855	0.1275	ABC
ABC	0.0925	0.1495	ABC
ABC	0.0855	0.1315	ABC
BCA	0.0035	0.0935	other
ABC	0.095	0.134	ABC
ABC	0.1065	0.1785	ABC
BCA	0.005	0.089	other
ABC	0.09	0.137	ABC
BCA	0.0045	0.0825	other
ABC	0.1135	0.1475	ABC
BCA	0.006	0.104	other
ABC	0.1085	0.1555	ABC
ABC	0.0885	0.1225	ABC
ABC	0.078	0.126	ABC
ABC	0.092	0.127	ABC
ABC	0.0985	0.1475	ABC
ABC	0.092	0.134	ABC
ABC	0.092	0.115	ABC
BCA	0.006	0.082	other
ABC	0.0925	0.1315	ABC
ABC	0.1135	0.1375	ABC
ABC	0.1	0.135	ABC
ABC	0.0915	0.1245	ABC
ABC	0.0935	0.1625	ABC
BCA	0.004	0.116	other
BCA	0.001	0.08	other
BCA	0.0025	0.1145	other
ABC	0.0945	0.1255	ABC
ABC	0.1055	0.1275	ABC
ABC	0.0905	0.1355	ABC
ABC	0.1035	0.1525	ABC
ABC	0.093	0.119	ABC
ABC	0.095	0.134	ABC
ABC	0.0965	0.1475	ABC
ABC	0.092	0.131	ABC
ABC	0.0875	0.1385	ABC
ABC	0.0865	0.1585	ABC
BCA	0.003	0.109	other
BCA	0.0095	0.1085	other
BCA	0.003	0.083	other
ABC	0.098	0.124	ABC
ABC	0.088	0.137	ABC
ABC	0.1085	0.1385	ABC
BCA	0.0135	0.0855	other
ABC	0.093	0.128	ABC
ABC	0.0735	0.1305	ABC
ABC	0.0865	0.1495	ABC
BCA	0.035	0.104	other
ABC	0.101	0.127	ABC
ABC	0.101	0.143	ABC
ABC	0.091	0.139	ABC
ABC	0.1085	0.1365	ABC
ABC	0.0955	0.1175	ABC
ABC	0.101	0.141	ABC
ABC	0.0895	0.1325	ABC
ABC	0.0815	0.1295	ABC
BCA	0.001	0.108	other
BCA	0.0185	0.0885	other
ABC	0.104	0.136	ABC
ABC	0.1055	0.1615	ABC
ABC	0.1245	0.1355	ABC
ABC	0.104	0.142	ABC
BCA	0.007	0.111	other
ABC	0.1165	0.1625	ABC
BCA	0.032	0.088	other
ABC	0.1045	0.1375	ABC
ABC	0.099	0.151	ABC
ABC	0.095	0.143	ABC
BCA	0.009	0.096	other
ABC	0.095	0.137	ABC
ABC	0.0905	0.1245	ABC
ABC	0.0885	0.1355	ABC
BCA	0.0065	0.0925	other
BCA	0.0055	0.0695	other
ABC	0.0855	0.1375	ABC
ABC	0.0935	0.1415	ABC
ABC	0.0955	0.1605	ABC
ABC	0.0955	0.1915	ABC
ABC	0.083	0.123	ABC
ABC	0.0855	0.1415	ABC
ABC	0.105	0.143	ABC
ABC	0.132	0.145	ABC
ABC	0.0955	0.1395	ABC
ABC	0.0785	0.1275	ABC
ABC	0.104	0.15	ABC
